date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:45:12	47247/47247	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2000:45:11%20GMT	https://kingtools.lol/526a79b	C:/My%20Web%20Sites/family2023/kingtools.lol/526a79b.html	(from )
07:45:14	964/964	---MC-	400	error ('Bad%20Request')	text/html	date:Wed,%2016%20Aug%202023%2000:45:13%20GMT	https://kingtools.lol/robots.txt		(from )
07:45:14	67961/67961	---M-Z	200	added ('OK')	application/javascript	etag:%2242639cce5db857005b8285dedd67553d%22	https://browser.sentry-cdn.com/6.4.1/bundle.min.js	C:/My%20Web%20Sites/family2023/browser.sentry-cdn.com/6.4.1/bundle.min.js	(from https://kingtools.lol/526a79b)
07:45:15	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/family2023/www.google-analytics.com/analytics.js	(from https://kingtools.lol/526a79b)
07:45:16	433418/433418	---M--	200	added ('OK')	image/jpg	etag:%22256d43beeb33893a8ce81afa796a6c40%22	https://d266key948fg17.cloudfront.net/uploads/1671380028620c22d2f92ac0d6a4df84c38f143be6.jpg	C:/My%20Web%20Sites/family2023/d266key948fg17.cloudfront.net/uploads/1671380028620c22d2f92ac0d6a4df84c38f143be6.jpg	(from https://kingtools.lol/526a79b)
07:45:16	170448/170448	---M--	200	added ('OK')	image/png	etag:%224c7f9a029408e8f81be4a5c3273d07a2%22	https://d266key948fg17.cloudfront.net/uploads/1667228771182434be0c983446d0fe2d9cda0c500f.png	C:/My%20Web%20Sites/family2023/d266key948fg17.cloudfront.net/uploads/1667228771182434be0c983446d0fe2d9cda0c500f.png	(from https://kingtools.lol/526a79b)
07:45:16	40517/40517	---M--	200	added ('OK')	image/png	etag:%226115b1491fbdf2070da74808bbde89c8%22	https://d266key948fg17.cloudfront.net/uploads/167041302350e0596af0ee72fa0eec05b7d73e3b48.png	C:/My%20Web%20Sites/family2023/d266key948fg17.cloudfront.net/uploads/167041302350e0596af0ee72fa0eec05b7d73e3b48.png	(from https://kingtools.lol/526a79b)
07:45:16	1089/1089	---M--	200	added ('OK')	image/png	etag:%22b9c9b7d8b492776e5b415b6430857db6%22	https://d266key948fg17.cloudfront.net/uploads/16425962814773fd277b7b0a85fc2c09a41bd7b800.png	C:/My%20Web%20Sites/family2023/d266key948fg17.cloudfront.net/uploads/16425962814773fd277b7b0a85fc2c09a41bd7b800.png	(from https://kingtools.lol/526a79b)
07:45:17	251123/251123	---M--	200	added ('OK')	image/png	etag:%222892154b8425e76dbb062875b321d230%22	https://d266key948fg17.cloudfront.net/uploads/1671380114809353c575af4404987caede6d1f748d.png	C:/My%20Web%20Sites/family2023/d266key948fg17.cloudfront.net/uploads/1671380114809353c575af4404987caede6d1f748d.png	(from https://kingtools.lol/526a79b)
07:45:17	106438/106438	---M--	200	added ('OK')	image/png	etag:%228259f94544fb178898847b28a9f86344%22	https://d266key948fg17.cloudfront.net/uploads/16425978810d7d51d8a3f18fb9ead9ee8fc2680a0a.png	C:/My%20Web%20Sites/family2023/d266key948fg17.cloudfront.net/uploads/16425978810d7d51d8a3f18fb9ead9ee8fc2680a0a.png	(from https://kingtools.lol/526a79b)
